# Zaehlrohrwinkel	Rate bei 35kV
# 2*theta/grad	R(35kV)/Imp/s
8.0	16.0
8.4	15.0
8.8	17.0
9.2	20.0
9.6	18.0
10.0	21.0
10.4	25.0
10.8	27.0
11.2	38.0
11.6	43.0
12.0	52.0
12.4	60.0
12.8	67.0
13.2	65.0
13.6	76.0
14.0	88.0
14.4	93.0
14.8	98.0
15.2	99.0
15.6	104.0
16.0	117.0
16.4	118.0
16.7	119.0
17.2	133.0
17.6	136.0
18.0	138.0
18.4	150.0
18.8	153.0
19.2	137.0
19.6	149.0
20.0	149.0
20.4	150.0
20.8	151.0
21.2	150.0
21.6	154.0
22.0	150.0
22.4	146.0
22.8	145.0
23.2	151.0
23.6	139.0
24.0	147.0
24.4	147.0
24.8	135.0
25.2	152.0
25.6	130.0
26.0	136.0
26.4	120.0
26.8	106.0
27.2	97.0
27.6	111.0
28.0	103.0
28.4	94.0
28.8	101.0
29.2	99.0
29.6	99.0
30.0	103.0
30.4	96.0
30.8	95.0
31.2	91.0
31.6	90.0
32.0	87.0
32.4	89.0
32.8	88.0
33.2	83.0
33.6	80.0
34.0	85.0
34.4	80.0
34.8	71.0
35.2	76.0
35.5	80.0
36.0	73.0
36.4	70.0
36.8	74.0
37.2	69.0
37.5	75.0
38.0	74.0
38.4	68.0
38.8	78.0
39.2	67.0
39.5	115.0
40.0	958.0
40.4	514.0
40.8	124.0
41.2	93.0
41.5	89.0
42.0	81.0
42.4	76.0
42.8	72.0
43.2	67.0
43.6	91.0
44.0	155.0
44.4	2779.0
44.8	2573.0
45.2	479.0
45.5	120.0
46.0	72.0
46.4	61.0
46.8	60.0
47.2	53.0
47.6	54.0
48.0	50.0
48.4	52.0
48.8	40.0
49.2	46.0
49.6	43.0
50.0	37.0
50.4	37.0
50.8	37.0
51.2	36.0
51.6	37.0
52.0	34.0
