# Zaehlrohrwinkel	Rate bei 35kV mit Au
# 2*theta/grad	R(35kV)/Imp/s
24.0	71.0
24.2	73.0
24.4	76.0
24.6	72.0
24.8	76.0
25.0	76.0
25.2	72.0
25.4	76.0
25.6	79.0
25.8	77.0
26.0	72.0
26.2	72.0
26.4	67.0
26.6	65.0
26.8	63.0
27.0	59.0
27.2	58.0
27.4	60.0
27.6	60.0
27.8	61.0
28.0	63.0
28.2	57.0
28.4	57.0
28.6	53.0
28.8	55.0
29.0	55.0
29.2	55.0
29.4	57.0
29.6	64.0
29.8	66.0
30.0	69.0
30.2	62.0
30.4	65.0
30.6	60.0
30.8	62.0
31.0	66.0
31.2	61.0
31.4	62.0
31.6	58.0
31.8	60.0
32.0	56.0
32.2	57.0
32.4	55.0
32.5	56.0
32.8	55.0
33.0	53.0
33.2	56.0
33.4	53.0
33.6	51.0
33.8	51.0
