# Zaehlrohrwinkel	Rate bei 35kV mit Br
# 2*theta/grad	R(35kV)/Imp/s
18.0	17.0
18.2	18.0
18.4	19.0
18.6	16.0
18.8	18.0
19.0	19.0
19.2	16.0
19.4	15.0
19.6	14.0
19.8	16.0
20.0	14.0
20.2	16.0
20.4	13.0
20.6	13.0
20.8	13.0
21.0	14.0
21.2	12.0
21.4	13.0
21.6	12.0
21.8	12.0
22.0	12.0
22.2	12.0
22.4	12.0
22.6	13.0
22.8	11.0
23.0	11.0
23.2	12.0
23.4	11.0
23.6	11.0
23.8	11.0
24.0	10.0
24.2	10.0
24.4	10.0
24.6	10.0
24.8	10.0
25.0	8.0
25.2	9.0
25.4	10.0
25.6	9.0
25.8	11.0
26.0	13.0
26.2	16.0
26.4	18.0
26.6	20.0
26.8	21.0
27.0	19.0
27.2	18.0
27.4	20.0
27.6	17.0
27.8	16.0
28.0	17.0
28.2	15.0
28.4	15.0
28.6	13.0
28.8	14.0
29.0	14.0
29.2	14.0
29.4	12.0
29.6	13.0
29.8	13.0
30.0	12.0
30.2	11.0
30.4	10.0
30.6	10.0
30.8	10.0
31.0	10.0
31.2	9.0
31.4	10.0
31.6	8.0
31.8	9.0
32.0	7.0
32.2	9.0
32.4	9.0
32.5	8.0
32.8	7.0
33.0	7.0
33.2	7.0
33.4	6.0
33.6	6.0
33.8	6.0
